year,Australia,Brazil,Canada,China,India,Japan,South Korea,United States,European Union,Russia
1961,19683055213.3498,17275940449.3837,40934952063.9468,50056868957.6732,39232435784.0358,53508617739.3778,2417558289.36656,563300000000.0,,
1962,19922723709.262,19231747851.5332,42227447631.9159,47209359005.6057,42161481858.0819,60723018683.7333,2814318516.60968,605100000000.0,,
1963,21539926083.548,23287712878.2002,45029988561.2124,50706799902.5104,48421923459.1235,69498131797.3333,3988784572.24835,638600000000.0,,
1964,23801097547.3177,20963733694.9749,49377522896.703,59708343488.5043,56480289940.9899,81749006381.5111,3458939357.73377,685800000000.0,,
1965,25977153096.6514,22465522884.0988,54515179580.7148,70436266146.7219,59554854575.8085,90950278257.7778,3120833333.33333,743700000000.0,,
1966,27309889125.322,28283323733.1114,61088384036.6515,76720285969.6157,45865462034.2857,105628070343.111,3928908380.62947,815000000000.0,,
1967,30444618658.3044,31086389194.961,65668655501.1254,72881631326.6715,50134942204.0,123781880217.6,4855907141.80098,861700000000.0,,
1968,32716989584.4999,33930457425.2613,71829810519.8955,70846535055.6503,53085455870.6667,146601072685.511,6119284294.23459,942500000000.0,,
1969,36686079068.2047,37171640818.5863,79148411661.6902,79705906247.4612,58447995017.3333,172204199480.889,7678581343.69794,1019900000000.0,,
1970,41337215813.6409,42327664793.6934,87896095320.1263,92602973434.0726,62422483054.6667,212609187919.444,9005023183.92581,1073303000000.0,725931117202.681,
1971,45222309329.1522,48869830901.7878,99271961774.6088,99800958648.1436,67350988021.3932,240151807460.241,9903499927.98502,1164850000000.0,820813003647.737,
1972,52051401869.1589,58434858374.8696,113082820486.918,113687586299.051,71463193831.0092,318031297492.352,10862327878.032,1279110000000.0,990428711523.757,
1973,63844971172.3254,83592275862.9982,131321858814.119,138544284708.957,85515269585.4,432082670450.719,13876531432.0145,1425376000000.0,1282020509407.61,
1974,88981577008.1061,109794519727.538,160408697341.513,144182133387.722,99525899116.054,479625998613.406,19544094741.2663,1545243000000.0,1451750057862.35,
1975,97333060221.2208,129203555238.827,173834029689.343,163431551779.761,98472796456.884,521541905673.251,21784297520.6612,1684904000000.0,1690875090425.37,
1976,105101474851.885,153168949208.207,206575564908.722,153940455341.506,102717164466.397,586161858999.671,29902479338.843,1873412000000.0,1770054233927.2,
1977,110387703601.744,176344101401.941,211612157028.679,174938098826.569,121487322475.912,721411786536.814,38446487603.3058,2081826000000.0,2004900497340.86,
1978,118535980148.883,200278646123.581,218632867537.477,149540752829.268,137300295313.3,1013612173518.84,51972107438.0165,2351599000000.0,2442696478420.52,
1979,134941497216.858,221338204480.222,243072102612.259,178280594413.043,152991653793.77,1055012119526.33,66946900826.4463,2627333000000.0,2952838432090.34,
1980,150032311977.716,237393489892.637,273853826548.067,191149211575.0,186325345086.661,1105385973763.87,65398646757.6511,2857307000000.0,3303181850263.89,
1981,176953442470.684,258015174748.648,306214863624.99,195866382432.54,193490610029.789,1218988935129.81,72933350953.7025,3207041000000.0,2879984188262.2,
1982,194104601125.455,271314113768.417,313506525087.136,205089699858.779,200715145363.148,1134518001884.56,78358866334.7376,3343789000000.0,2777376665977.44,
1983,177333645297.146,189656506321.431,340547711781.889,230686747153.257,218262273406.969,1243323592058.83,87760360941.0248,3634038000000.0,2702069500746.21,
1984,193593551892.773,188339974086.58,355372558103.621,259946510957.143,212158234167.312,1318381627003.76,97510235986.0046,4037613000000.0,2603395491959.08,
