code,country_name,gdp
AFE,Africa Eastern and Southern,1082095608968
AFW,Africa Western and Central,835808395909
AGO,Angola,72546985708
ALB,Albania,18260043499
AND,Andorra,3329910723
ARB,Arab World,2850421035169
ARG,Argentina,491492700657
ARM,Armenia,13861183873
ATG,Antigua and Barbuda,1471125925
AUS,Australia,1542659899992
AUT,Austria,477082467454
AZE,Azerbaijan,54622176470
BDI,Burundi,2902029385
BEL,Belgium,599879025377
BEN,Benin,17785640079
BFA,Burkina Faso,19737615114
BGD,Bangladesh,416264942893
BGR,Bulgaria,80271119426
BHR,Bahrain,38868663031
BHS,"Bahamas, The",11208600000
BIH,Bosnia and Herzegovina,22571512867
BLR,Belarus,68218816484
BLZ,Belize,1789923264
BMU,Bermuda,7080900000
BOL,Bolivia,40408208523
BRA,Brazil,1608981220812
BRB,Barbados,4900800000
BRN,Brunei Darussalam,14006569575
BWA,Botswana,17613846472
CAF,Central African Republic,2516498299
CAN,Canada,1990761609665
CEB,Central Europe and the Baltics,1887902464087
CHE,Switzerland,812866928867
CHL,Chile,317058508651
CHN,China,17734062645371
CIV,Cote d'Ivoire,69764827467
CMR,Cameroon,45238613479
COD,"Congo, Dem. Rep.",53958573693
COG,"Congo, Rep.",12523961677
COL,Colombia,314322453228
COM,Comoros,1327964249
CPV,Cabo Verde,1936174043
CRI,Costa Rica,64282438666
CSS,Caribbean small states,69970323144
CYP,Cyprus,27719337670
CZE,Czech Republic,282340849856
DEU,Germany,4223116205968
DJI,Djibouti,3371102123
DMA,Dominica,545618518
DNK,Denmark,397104343478
DOM,Dominican Republic,94243453937
DZA,Algeria,167983141738
EAP,East Asia & Pacific (excluding high income),20746563721663
EAR,Early-demographic dividend,12618119605215
EAS,East Asia & Pacific,30880832035117
ECA,Europe & Central Asia (excluding high income),3499151501974
ECS,Europe & Central Asia,25046912741672
ECU,Ecuador,106165866000
EGY,"Egypt, Arab Rep.",404142766093
EMU,Euro area,14493212396452
ESP,Spain,1425276586282
EST,Estonia,36262924353
ETH,Ethiopia,111271112329
EUU,European Union,17088620744318
FCS,Fragile and conflict affected situations,1644875126140
FIN,Finland,299155237589
FJI,Fiji,4592118709
FRA,France,2937472757953
FSM,"Micronesia, Fed. Sts.",404178049
